%xcoord,ycoord
693875.187514612,5456946.99998055
693926.749983842,5456957.49999263
693954.249953141,5456964.00002376
693962.995318951,5456969.18637854
693995.562497287,5456988.50003646
694016.187509238,5457012.50004051
694032.309854588,5457038.295691
694033.375029731,5457039.99996515
694043.687463928,5457049.99999884
694064.375027724,5457067.49995761
694078.124953978,5457108.50004623
694081.329457052,5457121.31791018
694085.000015219,5457135.99998368
694102.18750614,5457163.49995697
694129.687488972,5457170.49999738
694152.935995294,5457164.5911299
694170.999998636,5457159.9999607
694219.124955028,5457146.49996981
694249.188292599,5457137.76364978
694277.624950152,5457129.50003554
694329.187530464,5457108.50000861
694342.975212382,5457103.57747592
694367.000008026,5457095.00004645
694415.18745708,5457084.50003822
694437.637529785,5457073.27500222
694470.187545066,5457056.99998874
694518.374983091,5457025.99997341
694524.093867475,5457023.50730047
694573.437499719,5457002.00003192
694616.90639725,5456986.64478963
694621.562525937,5456985.00002729
694666.250005211,5456960.49999933
694702.900086223,5456936.10351566
694707.5624531,5456932.99996463
694759.124962226,5456902.50004783
694778.23106444,5456873.86976187
694779.812519511,5456871.49996772
694793.562476058,5456847.00004573
694803.874988954,5456826.49998559
694821.062461322,5456816.50002757
694841.687465253,5456813.00003225
694843.600752777,5456808.12984677
694848.562485166,5456795.499981
694845.125013741,5456771.49999836
694834.812516412,5456754.50002636
694838.249987965,5456730.50000718
694852.195233556,5456719.14098536
694855.437503939,5456716.50001171
694882.999959725,5456726.99998664
694893.312463838,5456719.99999985
694896.750016528,5456685.50000039
694892.61076903,5456666.83584812
694889.874983492,5456654.50001388
694879.499978774,5456620.00001936
694879.500013815,5456582.50003798
694876.519286534,5456569.05958527
694872.625034822,5456551.49995871
694855.437544533,5456534.00003807
694841.687484337,5456520.49995754
694845.124951606,5456503.49998648
694857.97580523,5456487.14443011
694858.874976694,5456486.0000351
694876.062462444,5456489.50000768
694893.312512928,5456499.99995139
694927.687542801,5456520.50002714
694947.57811668,5456526.28639954
694951.74999111,5456527.50004092
694982.687458871,5456527.50001897
695027.437536186,5456520.4999892
695046.789929366,5456520.49999587
695082.437465188,5456520.50000867
695127.187453593,5456520.49997023
695146.56269462,5456522.96594702
695154.687478176,5456524.00002614
695178.749985598,5456534.00003368
695199.437511351,5456554.99995201
695213.187492716,5456572.00000881
695219.000959227,5456585.1067426
695226.937461964,5456602.99997091
695247.562445627,5456630.49999186
695268.187509803,5456647.50001706
695284.352108906,5456657.95633231
695306.062494088,5456672.00002809
695357.624966264,5456723.49995588
695358.699071309,5456724.02724486
695385.124971096,5456736.9999881
695402.374987375,5456757.99998117
695405.812516148,5456799.00003079
695405.812516163,5456801.17061931
695405.812500779,5456850.49996838
695409.249978986,5456898.99996366
695409.732571634,5456900.91862311
